doc_id,dataset,split,tokens,pages,ocr_conf,low_conf_ratio,ocr_std,ocr_stage,blur_score,image_contrast,skew_angle,estimated_dpi,is_grayscale,x_spread_ratio,short_token_ratio,inv_chars_per_word,word_height_cv,crowded_line_frac,line_density,section_count,label_diversity,label_entropy,item_density,aspect_ratio,complexity_score
receipt_00000,cord,train,135,1,28.25,0.75,32.4,0,788.4,0.2241,1.0,182.9,False,0.4826,0.17037037037037037,0.2738336713995943,0.2210850528478575,0.6875,24.691358024691358,3.0,8.0,1.9594802485350955,0.23703703703703705,1.5,0.5286
receipt_00001,cord,train,39,1,32.49,0.856,23.1,0,454.2,0.1156,10.0,182.9,False,0.7083,0.0,0.21081081081081082,0.3241687552383351,0.46153846153846156,10.030864197530864,3.0,8.0,2.6423917978462534,0.3333333333333333,1.5,0.4429
receipt_00002,cord,train,39,1,78.46,0.229,26.8,0,193.2,0.0855,-1.0,180.6,False,0.6889,0.02564102564102564,0.22674418604651161,0.14977188856528367,0.38461538461538464,10.15625,3.0,9.0,2.8036865172168515,0.3333333333333333,1.7777777777777777,0.44
receipt_00003,cord,train,22,1,49.76,0.561,37.1,0,792.1,0.1831,1.0,208.6,False,0.6363,0.0,0.19819819819819817,0.11801497533034501,0.25,5.412719891745602,3.0,8.0,2.919690574049697,0.36363636363636365,1.3339350180505416,0.3615
receipt_00004,cord,train,18,1,50.28,0.6,32.6,0,454.3,0.0771,-1.0,182.9,False,0.7766,0.0,0.20930232558139536,0.04940126345438774,0.3333333333333333,4.62962962962963,3.0,9.0,3.016875695766564,0.3333333333333333,1.5,0.3716
receipt_00005,cord,train,35,1,29.12,0.911,21.0,0,164.0,0.2344,1.0,578.0,False,0.5638,0.0,0.1881720430107527,0.10723586349001596,0.36363636363636365,2.685546875,3.0,9.0,2.81517677523951,0.3142857142857143,1.7777777777777777,0.3738
receipt_00006,cord,train,23,1,48.43,0.571,23.1,0,487.1,0.2318,-1.0,182.9,False,0.8692,0.043478260869565216,0.2233009708737864,0.12445966514307909,0.25,6.172839506172839,3.0,9.0,3.099436412484688,0.34782608695652173,1.5,0.418
receipt_00007,cord,train,15,1,56.06,0.514,33.5,0,765.8,0.355,1.0,182.9,False,0.6829,0.0,0.18518518518518517,0.05583000548954289,0.0,5.401234567901234,3.0,8.0,2.923231428797621,0.4666666666666667,1.5,0.3428
receipt_00008,cord,train,17,1,54.15,0.471,35.8,0,272.8,0.118,1.0,182.9,False,0.6863,0.058823529411764705,0.19318181818181818,0.11190144237809681,0.0,5.401234567901234,2.0,7.0,2.6986604604011153,0.4117647058823529,1.5,0.2566
receipt_00009,cord,train,14,1,61.68,0.455,33.4,0,1390.1,0.1514,1.0,182.9,False,0.581,0.0,0.175,0.2770255401980684,0.0,4.62962962962963,3.0,8.0,2.8962915290459277,0.42857142857142855,1.5,0.3819
