doc_id,split,f1_small,f1_large,gap,cost_small,cost_large,cached,dataset,tokens,pages,ocr_conf,low_conf_ratio,ocr_std,ocr_stage,blur_score,image_contrast,skew_angle,estimated_dpi,is_grayscale,short_token_ratio,inv_chars_per_word,word_height_cv,crowded_line_frac,line_density,section_count,label_diversity,label_entropy,item_density,aspect_ratio
aa10b8a2-396c-f3e3-b5ee-68b227d039f4,train,0.8,0.8,0.0,0.002507,0.006864,True,deepform,288,1,92.29,0.017,9.4,0,2570.5,0.1791,-1.0,310.6,False,0.052083333333333336,0.20367751060820366,0.14293060307643168,0.5957446808510638,21.353930031803724,0.0,0.0,0.0,0.16319444444444445,1.2947058823529412
4b51f8a4-f183-3fc3-bc51-09081f047313,train,0.4,0.6667,0.2667,0.003216,0.008781,True,deepform,495,1,89.68,0.056,14.9,0,4042.5,0.2356,-1.0,310.6,False,0.10303030303030303,0.1947285601888277,0.16331571445857054,0.8095238095238095,28.62335302135393,0.0,0.0,0.0,0.12727272727272726,1.2947058823529412
d06fd8db-a373-bbf7-88e3-a7ba4ecbb1d3,train,0.8,1.0,0.2,0.002814,0.00771,True,deepform,437,1,91.21,0.035,12.3,0,3626.9,0.2305,1.0,310.4,False,0.13501144164759726,0.20999519461797214,0.21260311146260608,0.6538461538461539,23.636363636363633,0.0,0.0,0.0,0.11899313501144165,1.2941176470588236
fff6e43d-7dfc-1f3b-c980-34200cf9aa11,train,0.8,0.6667,-0.1333,0.003158,0.008607,True,deepform,498,1,85.9,0.099,23.0,0,4110.1,0.2386,-1.0,310.6,False,0.10240963855421686,0.19754065846886157,0.1569123291082737,0.796875,29.077691958200816,0.0,0.0,0.0,0.1285140562248996,1.2947058823529412
d297f399-d37d-4970-7701-9807995d4129,train,0.8,0.6,-0.2,0.003188,0.008952,True,deepform,503,1,88.6,0.077,18.5,0,4140.5,0.2395,-1.0,310.6,False,0.1073558648111332,0.19764243614931237,0.15747849698222485,0.8095238095238095,28.62335302135393,0.0,0.0,0.0,0.12524850894632206,1.2947058823529412
ff9c72fa-8267-5701-5492-e8cbf336e101,train,1.0,1.0,0.0,0.003044,0.00843,True,deepform,463,1,89.14,0.058,16.3,0,3935.0,0.2381,-1.0,310.6,False,0.08423326133909287,0.18990976210008204,0.16179923120636094,0.7741935483870968,28.16901408450704,0.0,0.0,0.0,0.13390928725701945,1.2947058823529412
8336cac1-6a6b-3d03-da02-406e5c5c02a3,train,0.6,0.8,0.2,0.00325,0.009018,True,deepform,577,1,87.8,0.08,19.8,0,4974.7,0.2581,1.0,310.6,False,0.14731369150779897,0.20417551309271054,0.2251223746174609,0.7796610169491526,26.805997273966376,0.0,0.0,0.0,0.1022530329289428,1.2947058823529412
6fa21456-9a31-77e1-666c-1b5d2854b9f5,train,0.8,0.8889,0.0889,0.003179,0.00855,True,deepform,498,1,88.45,0.076,18.1,0,4118.0,0.2393,-1.0,310.6,False,0.0783132530120482,0.19606299212598424,0.15708063896727137,0.8125,29.077691958200816,0.0,0.0,0.0,0.1285140562248996,1.2947058823529412
77b01685-a397-3d5d-fc0b-b59d2638d87b,train,0.8,0.8,0.0,0.003221,0.008961,True,deepform,515,1,88.51,0.073,18.2,0,4175.6,0.2401,-1.0,310.6,False,0.10485436893203884,0.1989185013518733,0.15622616381680796,0.8412698412698413,28.62335302135393,0.0,0.0,0.0,0.12233009708737864,1.2947058823529412
29bcc46d-b822-5d4d-7545-c7daf88ee9a5,train,0.4,0.4444,0.0444,0.002761,0.007296,True,deepform,340,1,90.36,0.056,14.9,0,3203.3,0.2246,-1.0,240.0,False,0.09705882352941177,0.20322773460848773,0.20803627942132538,0.8113207547169812,31.15814226925338,0.0,0.0,0.0,0.15588235294117647,0.7731818181818182
6801061e-c321-1dd9-a219-6b3c0a58b7e9,train,0.8,0.8,0.0,0.003099,0.008595,True,deepform,591,1,90.6,0.045,15.0,0,4181.4,0.2247,-1.0,310.6,False,0.11336717428087986,0.18416952321595512,0.23094685774214835,0.78125,29.077691958200816,0.0,0.0,0.0,0.10829103214890017,1.2947058823529412
23a5de85-3f4d-e735-92c2-a029e4121878,train,0.6,0.8889,0.2889,0.002923,0.008367,True,deepform,612,1,91.58,0.028,12.2,0,4699.6,0.2376,1.0,310.6,False,0.1323529411764706,0.19083255378858746,0.28550821090177314,0.75,29.077691958200816,0.0,0.0,0.0,0.10457516339869281,1.2947058823529412
684636c0-4f27-76c9-e941-6611031323aa,train,0.6,0.8,0.2,0.003072,0.008484,True,deepform,609,1,88.83,0.074,18.7,0,4746.9,0.2433,-1.0,310.6,False,0.1444991789819376,0.18629550321199143,0.27217765867071037,0.7619047619047619,28.62335302135393,0.0,0.0,0.0,0.10344827586206896,1.2947058823529412
